time;RSSI;RSRP;SINR;RSRQ;MCC;MNC;TAC;CELLID;BAND;DLBW;ULBW;RX CHAN; TX CHAN;TX POWER;network;IP;interface
1567059751.552;-64.0;-90.6;20.0;-6.5;262;1;7;30940672;20;3;3;6400;24400;20.0; 359260080112052;10.69.113.83;lte_stg024
1567059752.461;-64.1;-88.7;20.8;-6.5;262;1;7;30940672;20;3;3;6400;24400;-17.0; 359260080112052;10.69.113.83;lte_stg024
1567059753.462;-61.8;-86.2;23.0;-6.7;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059754.463;-61.2;-86.9;22.6;-7.0;262;1;7;30940672;20;3;3;6400;24400;-21.0; 359260080112052;10.69.113.83;lte_stg024
1567059755.496;-62.5;-85.2;23.2;-6.5;262;1;7;30940672;20;3;3;6400;24400;17.0; 359260080112052;10.69.113.83;lte_stg024
1567059756.538;-62.1;-86.3;20.6;-7.2;262;1;7;30940672;20;3;3;6400;24400;20.0; 359260080112052;10.69.113.83;lte_stg024
1567059757.466;-57.1;-83.4;25.0;-7.0;262;1;7;30940672;20;3;3;6400;24400;16.0; 359260080112052;10.69.113.83;lte_stg024
1567059758.466;-57.9;-82.9;23.4;-7.0;262;1;7;30940672;20;3;3;6400;24400;15.0; 359260080112052;10.69.113.83;lte_stg024
1567059759.508;-59.9;-84.1;23.8;-7.1;262;1;7;30940672;20;3;3;6400;24400;15.0; 359260080112052;10.69.113.83;lte_stg024
1567059760.499;-58.5;-83.0;22.6;-7.0;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059761.541;-58.8;-84.1;23.8;-6.9;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059762.469;-61.7;-83.6;20.8;-6.9;262;1;7;30940672;20;3;3;6400;24400;19.0; 359260080112052;10.69.113.83;lte_stg024
1567059763.532;-62.7;-88.3;19.8;-8.3;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059764.533;-61.0;-85.6;22.6;-7.1;262;1;7;30940672;20;3;3;6400;24400;22.0; 359260080112052;10.69.113.83;lte_stg024
1567059765.482;-58.3;-84.0;21.6;-7.7;262;1;7;30940672;20;3;3;6400;24400;16.0; 359260080112052;10.69.113.83;lte_stg024
1567059766.521;-54.6;-81.9;26.2;-7.3;262;1;7;30940672;20;3;3;6400;24400;11.0; 359260080112052;10.69.113.83;lte_stg024
1567059767.474;-56.9;-79.2;25.8;-6.4;262;1;7;30940672;20;3;3;6400;24400;13.0; 359260080112052;10.69.113.83;lte_stg024
1567059768.504;-53.5;-79.4;23.4;-7.1;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059769.505;-58.5;-81.8;23.0;-7.3;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059770.486;-56.4;-81.7;25.4;-7.1;262;1;7;30940672;20;3;3;6400;24400;8.0; 359260080112052;10.69.113.83;lte_stg024
1567059771.570;-54.9;-81.4;23.4;-7.3;262;1;7;30940672;20;3;3;6400;24400;17.0; 359260080112052;10.69.113.83;lte_stg024
1567059772.550;-53.3;-79.7;21.2;-7.8;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059773.510;-57.1;-81.8;20.0;-7.3;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059774.480;-60.2;-83.1;22.4;-7.4;262;1;7;30940672;20;3;3;6400;24400;10.0; 359260080112052;10.69.113.83;lte_stg024
1567059775.530;-62.5;-87.3;20.4;-8.0;262;1;7;30940672;20;3;3;6400;24400;11.0; 359260080112052;10.69.113.83;lte_stg024
1567059776.584;-58.9;-84.7;21.6;-8.5;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059777.531;-60.5;-84.3;21.6;-7.8;262;1;7;30940672;20;3;3;6400;24400;18.0; 359260080112052;10.69.113.83;lte_stg024
1567059778.483;-57.9;-82.5;22.2;-6.8;262;1;7;30940672;20;3;3;6400;24400;8.0; 359260080112052;10.69.113.83;lte_stg024
1567059779.505;-55.7;-81.8;22.0;-7.7;262;1;7;30940672;20;3;3;6400;24400;6.0; 359260080112052;10.69.113.83;lte_stg024
1567059780.495;-58.8;-83.0;25.4;-7.3;262;1;7;30940672;20;3;3;6400;24400;16.0; 359260080112052;10.69.113.83;lte_stg024
1567059781.589;-58.8;-84.3;20.4;-7.9;262;1;7;30940672;20;3;3;6400;24400;-9999.0; 359260080112052;10.69.113.83;lte_stg024
1567059782.487;-62.2;-89.5;19.6;-8.4;262;1;7;30940672;20;3;3;6400;24400;10.0; 359260080112052;10.69.113.83;lte_stg024
