time;RSSI;RSRP;SINR;RSRQ;MCC;MNC;TAC;CELLID;BAND;DLBW;ULBW;RX CHAN; TX CHAN;TX POWER;network;IP;interface
1568381189.755;-42.5;-59.5;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;;lte_tinylte
1568381190.756;-41.7;-58.4;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;;lte_tinylte
1568381191.823;-42.6;-58.8;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;21.0; 359260080111963;10.45.100.2;lte_tinylte
1568381192.758;-42.2;-59.1;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381193.759;-41.3;-59.6;30.0;-3.9;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381194.759;-43.8;-60.0;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381195.760;-42.2;-60.0;30.0;-3.7;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381196.802;-44.0;-61.0;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381197.762;-44.1;-60.1;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381198.763;-43.0;-60.8;30.0;-3.8;555;13;1;105217;28;2;2;9360;27360;-9999.0; 359260080111963;10.45.100.2;lte_tinylte
1568381199.764;-44.2;-61.2;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;21.0; 359260080111963;10.45.100.2;lte_tinylte
1568381200.764;-46.2;-62.9;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;21.0; 359260080111963;10.45.100.2;lte_tinylte
1568381201.806;-45.0;-61.0;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-28.0; 359260080111963;10.45.100.2;lte_tinylte
1568381202.766;-47.7;-64.9;30.0;-3.3;555;13;1;105217;28;2;2;9360;27360;-27.0; 359260080111963;10.45.100.2;lte_tinylte
1568381203.767;-43.9;-61.0;30.0;-3.2;555;13;1;105217;28;2;2;9360;27360;-27.0; 359260080111963;10.45.100.2;lte_tinylte
1568381204.767;-40.4;-58.2;30.0;-3.9;555;13;1;105217;28;2;2;9360;27360;-30.0; 359260080111963;10.45.100.2;lte_tinylte
1568381205.768;-40.1;-57.8;30.0;-3.8;555;13;1;105217;28;2;2;9360;27360;-31.0; 359260080111963;10.45.100.2;lte_tinylte
1568381206.810;-39.7;-56.6;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-33.0; 359260080111963;10.45.100.2;lte_tinylte
1568381207.770;-39.1;-55.0;30.0;-3.0;555;13;1;105217;28;2;2;9360;27360;-35.0; 359260080111963;10.45.100.2;lte_tinylte
1568381208.771;-36.8;-54.5;30.0;-3.8;555;13;1;105217;28;2;2;9360;27360;-34.0; 359260080111963;10.45.100.2;lte_tinylte
