time;RSSI;RSRP;SINR;RSRQ;MCC;MNC;TAC;CELLID;BAND;DLBW;ULBW;RX CHAN; TX CHAN;TX POWER;network;IP;interface
1568381087.245;-79.0;-104.9;5.2;-8.6;262;1;5;34964226;20;3;3;6400;24400;21.0; 359072061638793;37.83.25.105;lte_tmobile
1568381087.962;-78.9;-104.5;6.0;-8.9;262;1;5;34964226;20;3;3;6400;24400;22.0; 359072061638793;37.83.25.105;lte_tmobile
1568381088.963;-80.9;-106.2;4.0;-9.3;262;1;5;34964226;20;3;3;6400;24400;0.0; 359072061638793;37.83.25.105;lte_tmobile
1568381089.964;-80.2;-106.1;4.8;-9.5;262;1;5;34964226;20;3;3;6400;24400;20.0; 359072061638793;37.83.25.105;lte_tmobile
1568381090.965;-80.6;-106.7;4.6;-9.5;262;1;5;34964226;20;3;3;6400;24400;22.0; 359072061638793;37.83.25.105;lte_tmobile
1568381092.007;-81.4;-108.8;2.4;-10.7;262;1;5;34964226;20;3;3;6400;24400;23.0; 359072061638793;37.83.25.105;lte_tmobile
1568381092.967;-80.0;-107.5;3.4;-10.3;262;1;5;34964226;20;3;3;6400;24400;20.0; 359072061638793;37.83.25.105;lte_tmobile
1568381093.968;-79.2;-105.6;5.0;-9.3;262;1;5;34964226;20;3;3;6400;24400;21.0; 359072061638793;37.83.25.105;lte_tmobile
1568381094.969;-80.2;-105.6;5.0;-9.0;262;1;5;34964226;20;3;3;6400;24400;0.0; 359072061638793;37.83.25.105;lte_tmobile
1568381095.970;-80.1;-106.6;5.0;-9.4;262;1;5;34964226;20;3;3;6400;24400;0.0; 359072061638793;37.83.25.105;lte_tmobile
1568381097.012;-80.2;-106.3;4.8;-9.4;262;1;5;34964226;20;3;3;6400;24400;22.0; 359072061638793;37.83.25.105;lte_tmobile
1568381097.972;-80.7;-107.0;4.4;-9.5;262;1;5;34964226;20;3;3;6400;24400;22.0; 359072061638793;37.83.25.105;lte_tmobile
