time;RSSI;RSRP;SINR;RSRQ;MCC;MNC;TAC;CELLID;BAND;DLBW;ULBW;RX CHAN; TX CHAN;TX POWER;network;IP;interface
1568381079.490;-80.0;-111.9;-3.0;-14.9;262;2;49007;52505107;1;3;3;101;18101;17.0; 359072061595894;100.102.9.227;lte_vodafone
1568381080.531;-82.4;-111.4;5.4;-12.2;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381081.532;-79.0;-110.3;2.6;-12.9;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381082.553;-80.2;-108.8;4.0;-12.3;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381083.534;-79.1;-109.2;5.6;-12.9;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381084.494;-77.9;-109.1;-2.6;-13.5;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381085.535;-81.8;-109.4;10.4;-12.1;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381086.465;-80.9;-109.4;2.2;-12.5;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381087.567;-82.3;-109.9;6.4;-11.8;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381088.548;-80.9;-109.5;8.2;-11.1;262;2;49007;52505107;1;3;3;101;18101;13.0; 359072061595894;100.102.9.227;lte_vodafone
1568381089.519;-83.2;-112.2;5.4;-12.5;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381090.479;-82.0;-111.7;4.0;-11.9;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
1568381091.480;-82.5;-111.0;4.8;-11.5;262;2;49007;52505107;1;3;3;101;18101;-9999.0; 359072061595894;100.102.9.227;lte_vodafone
