time;msg_out;bytes_out
1575974414.254959;802;2245600
1575974415.273048;859;2405200
1575974423.974379;685;1918000
1575974424.989542;948;2654400
1575974426.000892;809;2265200
1575974427.004840;729;2041200
1575974428.018591;690;1932000
1575974429.028632;690;1932000
1575974430.036077;666;1864800
1575974431.041882;721;2018800
1575976101.488062;729;2041200
1575976102.488582;749;2097200
1575976103.529846;680;1904000
1575976110.196852;293;2109600
1575976111.199810;341;2455200
1575976112.202635;280;2016000
1575976113.210895;270;1944000
1575976114.214961;282;2030400
1575976115.230760;275;1980000
1575976116.245793;258;1857600
1575976117.246806;276;1987200
1575976118.246811;269;1936800
1575976119.267814;254;1828800
1575976120.270896;202;1454400
1575976121.273820;268;1929600
1575976122.277764;271;1951200
1575976123.278917;279;2008800
1575976124.314968;287;2066400
1575976125.315923;281;2023200
1575976126.333971;267;1922400
1575976127.349452;402;2894400
1575976128.349812;345;2484000
1575976129.354997;307;2210400
1575976130.361067;325;2340000
1575976131.392255;299;2152800
1575976132.408115;305;2196000
1575976133.431011;325;2340000
1575976134.444135;359;2584800
1575976135.447957;337;2426400
1575976136.448009;315;2268000
1575976137.476941;257;1850400
1575976138.477168;310;2232000
1575976139.478412;310;2232000
1575976140.478879;267;1922400
1575976141.480232;310;2232000
1575976142.483993;271;1951200
1575976143.487031;280;2016000
1575976144.515098;267;1922400
1575976145.529577;240;1728000
1575976146.531082;325;2340000
1575976147.549142;262;1886400
1575976148.557375;249;1792800
1575976149.566339;304;2188800
1575976150.598410;263;1893600
1575976151.606142;257;1850400
1575976152.611255;235;1692000
1575976153.611322;289;2080800
1575976154.633230;249;1792800
1575976155.642148;273;1965600
1575976156.642324;269;1936800
1575976157.643198;269;1936800
1575976158.650403;201;1447200
1575976159.671241;272;1958400
1575976160.673433;255;1836000
1575976161.741639;252;1814400
1575976162.751425;292;2102400
1575976163.761338;251;1807200
1575976164.761342;272;1958400
1575976165.769318;272;1958400
1575976166.770324;259;1864800
1575976167.771354;272;1958400
1575976168.771431;201;1447200
1575976169.772420;269;1936800
1575976170.791431;260;1872000
1575976171.795369;268;1929600
1575976172.806475;268;1929600
1575976173.816421;257;1850400
1575976174.818662;294;2116800
1575976175.835613;281;2023200
1575976176.841624;271;1951200
1575976177.850333;252;1814400
1575976178.855527;307;2210400
1575976179.872489;245;1764000
1575976180.872589;257;1850400
1575976181.874989;243;1749600
1575976182.876584;261;1879200
1575976183.876648;247;1778400
1575976184.899646;282;2030400
1575976185.931691;230;1656000
1575976186.934768;242;1742400
