time;RSSI;RSRP;SINR;RSRQ;MCC;MNC;TAC;CELLID;BAND;DLBW;ULBW;RX CHAN; TX CHAN;TX POWER;network;IP;interface
1566999797.499;-62.9;-88.8;29.0;-6.1;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999798.439;-62.5;-88.6;29.6;-6.4;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999799.449;-62.0;-88.7;27.6;-6.8;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999800.450;-62.8;-88.5;29.6;-6.1;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999801.258;-62.8;-88.8;28.4;-6.3;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999802.300;-62.0;-88.9;28.6;-6.5;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999803.260;-62.2;-88.8;29.2;-6.4;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999804.433;-62.6;-88.8;28.6;-6.5;262;1;5;41955840;3;5;5;1300;19300;12.0; 359072061638793;37.83.198.205;lte_tmobile
1566999805.444;-62.9;-88.9;28.6;-6.3;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999806.446;-62.0;-88.6;29.6;-6.4;262;1;5;41955840;3;5;5;1300;19300;12.0; 359072061638793;37.83.198.205;lte_tmobile
1566999807.507;-62.6;-88.9;27.4;-6.6;262;1;5;41955840;3;5;5;1300;19300;12.0; 359072061638793;37.83.198.205;lte_tmobile
1566999808.447;-62.5;-88.8;29.2;-6.5;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
1566999809.448;-62.4;-88.7;23.8;-6.3;262;1;5;41955840;3;5;5;1300;19300;12.0; 359072061638793;37.83.198.205;lte_tmobile
1566999810.469;-62.8;-88.8;28.0;-6.2;262;1;5;41955840;3;5;5;1300;19300;12.0; 359072061638793;37.83.198.205;lte_tmobile
1566999811.358;-62.7;-88.8;28.2;-6.4;262;1;5;41955840;3;5;5;1300;19300;0.0; 359072061638793;37.83.198.205;lte_tmobile
