time;RSSI;RSRP;SINR;RSRQ;MCC;MNC;TAC;CELLID;BAND;DLBW;ULBW;RX CHAN; TX CHAN;TX POWER;network;IP;interface
1566999800.996;-80.7;-108.4;11.8;-10.8;262;2;49003;2745089;20;3;3;6300;24300;13.0; 359072061595894;100.102.122.170;lte_vodafone
1566999801.975;-80.1;-108.5;9.4;-11.2;262;2;49003;2745089;20;3;3;6300;24300;11.0; 359072061595894;100.102.122.170;lte_vodafone
1566999802.945;-80.6;-108.8;9.0;-11.2;262;2;49003;2745089;20;3;3;6300;24300;12.0; 359072061595894;100.102.122.170;lte_vodafone
1566999803.967;-80.3;-108.7;7.0;-11.3;262;2;49003;2745089;20;3;3;6300;24300;19.0; 359072061595894;100.102.122.170;lte_vodafone
1566999804.957;-80.3;-108.7;6.4;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999805.908;-80.3;-108.6;10.2;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999806.949;-80.3;-108.5;9.2;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999807.960;-80.8;-109.0;9.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999808.870;-80.3;-109.0;9.8;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999809.982;-80.5;-109.2;7.0;-11.2;262;2;49003;2745089;20;3;3;6300;24300;13.0; 359072061595894;100.102.122.170;lte_vodafone
1566999810.993;-80.5;-108.7;9.8;-11.3;262;2;49003;2745089;20;3;3;6300;24300;13.0; 359072061595894;100.102.122.170;lte_vodafone
1566999811.963;-80.3;-108.8;8.8;-11.1;262;2;49003;2745089;20;3;3;6300;24300;13.0; 359072061595894;100.102.122.170;lte_vodafone
1566999812.873;-80.5;-108.9;9.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999813.985;-80.5;-108.8;9.6;-11.4;262;2;49003;2745089;20;3;3;6300;24300;13.0; 359072061595894;100.102.122.170;lte_vodafone
1566999814.955;-80.5;-108.9;9.2;-11.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999815.916;-80.1;-108.7;9.8;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999816.957;-80.2;-108.3;9.8;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999817.776;-79.7;-108.4;7.8;-11.6;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999818.990;-79.9;-108.4;7.4;-11.6;262;2;49003;2745089;20;3;3;6300;24300;18.0; 359072061595894;100.102.122.170;lte_vodafone
1566999819.980;-80.2;-108.4;7.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999821.002;-80.1;-108.4;8.6;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999821.982;-80.7;-108.5;10.0;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999822.902;-80.4;-108.6;9.2;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999823.963;-80.3;-108.4;9.4;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999824.883;-80.5;-108.5;9.8;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999826.036;-80.5;-108.4;7.2;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999826.976;-80.7;-108.6;10.0;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999827.906;-81.0;-109.0;7.8;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999828.977;-82.6;-109.2;8.0;-11.0;262;2;49003;2745089;20;3;3;6300;24300;13.0; 359072061595894;100.102.122.170;lte_vodafone
1566999829.907;-80.9;-109.3;8.8;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999831.010;-80.8;-109.0;10.4;-11.1;262;2;49003;2745089;20;3;3;6300;24300;12.0; 359072061595894;100.102.122.170;lte_vodafone
1566999831.970;-80.8;-108.8;11.4;-11.1;262;2;49003;2745089;20;3;3;6300;24300;12.0; 359072061595894;100.102.122.170;lte_vodafone
1566999832.910;-80.8;-109.0;11.2;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999833.971;-80.7;-108.9;10.8;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999835.003;-79.6;-108.5;6.8;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999836.014;-83.2;-107.8;11.0;-9.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999836.994;-79.1;-107.5;11.4;-10.0;262;2;49003;2745089;20;3;3;6300;24300;21.0; 359072061595894;100.102.122.170;lte_vodafone
1566999837.985;-80.0;-108.3;11.4;-9.2;262;2;49003;2745089;20;3;3;6300;24300;9.0; 359072061595894;100.102.122.170;lte_vodafone
1566999838.986;-84.9;-109.5;9.2;-9.7;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999839.895;-80.8;-108.9;10.6;-10.8;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999840.948;-80.5;-108.9;9.6;-10.7;262;2;49003;2745089;20;3;3;6300;4294967295;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999841.907;-80.9;-109.5;8.8;-11.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999842.998;-81.2;-109.3;8.8;-11.2;262;2;49003;2745089;20;3;3;6300;24300;12.0; 359072061595894;100.102.122.170;lte_vodafone
1566999844.000;-81.2;-109.3;9.2;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999844.990;-81.9;-110.0;8.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999846.032;-82.6;-110.5;10.6;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999846.982;-81.0;-109.0;11.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;14.0; 359072061595894;100.102.122.170;lte_vodafone
1566999847.983;-81.3;-108.7;11.2;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999848.923;-81.6;-109.4;11.2;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999850.015;-80.9;-109.1;12.0;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999851.036;-80.3;-108.1;10.8;-10.7;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999851.986;-80.8;-108.0;10.0;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999852.997;-80.7;-108.8;9.4;-11.0;262;2;49003;2745089;20;3;3;6300;24300;7.0; 359072061595894;100.102.122.170;lte_vodafone
1566999853.987;-81.0;-109.2;9.8;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999854.988;-83.7;-108.2;8.2;-8.7;262;2;49003;2745089;20;3;3;6300;24300;8.0; 359072061595894;100.102.122.170;lte_vodafone
1566999856.030;-81.2;-107.4;11.6;-9.2;262;2;49003;2745089;20;3;3;6300;24300;21.0; 359072061595894;100.102.122.170;lte_vodafone
1566999857.000;-79.8;-107.6;10.4;-10.8;262;2;49003;2745089;20;3;3;6300;24300;20.0; 359072061595894;100.102.122.170;lte_vodafone
1566999857.910;-79.5;-107.6;11.8;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999859.012;-79.5;-107.5;10.6;-11.0;262;2;49003;2745089;20;3;3;6300;24300;15.0; 359072061595894;100.102.122.170;lte_vodafone
1566999860.003;-80.1;-107.8;11.0;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999861.034;-79.2;-107.5;11.4;-10.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999861.994;-79.5;-107.5;11.2;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999862.995;-80.2;-107.2;10.6;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999863.914;-80.9;-108.6;10.6;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999864.946;-80.1;-108.2;9.8;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999866.058;-80.5;-109.0;9.8;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999867.018;-80.3;-108.1;7.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999868.009;-82.0;-109.9;9.4;-10.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999869.020;-80.9;-109.2;10.6;-11.0;262;2;49003;2745089;20;3;3;6300;24300;11.0; 359072061595894;100.102.122.170;lte_vodafone
1566999870.010;-81.1;-108.4;10.2;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999870.981;-80.3;-109.0;9.2;-10.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999872.002;-80.2;-107.9;11.2;-10.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999872.942;-80.3;-108.2;11.6;-10.8;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999874.014;-84.9;-109.9;9.0;-10.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999875.015;-82.0;-110.2;6.6;-10.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999875.844;-80.7;-108.8;9.6;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999876.915;-81.5;-109.4;9.6;-11.1;262;2;49003;2745089;20;3;3;6300;24300;17.0; 359072061595894;100.102.122.170;lte_vodafone
1566999878.018;-81.6;-109.6;9.6;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999878.836;-81.1;-108.5;8.6;-10.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999879.837;-80.2;-108.0;10.0;-10.6;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999881.061;-79.4;-107.5;11.6;-10.7;262;2;49003;2745089;20;3;3;6300;24300;7.0; 359072061595894;100.102.122.170;lte_vodafone
1566999882.011;-78.8;-107.1;11.2;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999883.022;-79.5;-107.5;11.0;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999884.033;-79.6;-107.3;8.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999884.943;-79.6;-107.4;10.8;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999886.056;-79.0;-107.1;8.6;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999887.015;-79.5;-107.1;10.6;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999887.935;-79.4;-107.4;9.6;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999889.027;-80.9;-109.1;5.4;-11.6;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999890.038;-80.0;-108.4;10.2;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999891.070;-80.7;-108.7;6.6;-11.4;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999892.019;-80.1;-108.5;9.6;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999893.020;-79.6;-107.8;12.0;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999894.032;-79.8;-108.0;8.4;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999895.022;-80.3;-108.7;10.4;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999895.983;-81.2;-109.2;5.8;-11.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999896.943;-80.5;-109.0;9.6;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999898.035;-79.6;-107.6;8.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;10.0; 359072061595894;100.102.122.170;lte_vodafone
1566999899.025;-78.5;-107.3;8.4;-11.3;262;2;49003;2745089;20;3;3;6300;24300;9.0; 359072061595894;100.102.122.170;lte_vodafone
1566999900.057;-78.9;-107.4;8.0;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999901.068;-79.2;-107.4;8.2;-11.2;262;2;49003;2745089;20;3;3;6300;24300;9.0; 359072061595894;100.102.122.170;lte_vodafone
1566999902.028;-81.0;-109.4;7.6;-11.4;262;2;49003;2745089;20;3;3;6300;24300;11.0; 359072061595894;100.102.122.170;lte_vodafone
1566999903.028;-81.1;-109.2;10.2;-10.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999903.969;-81.8;-111.1;4.2;-11.9;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999904.949;-79.3;-108.2;10.6;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999906.082;-78.1;-106.2;9.2;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999907.052;-79.0;-106.8;11.6;-10.8;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999908.062;-81.6;-109.5;7.6;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999908.952;-80.8;-109.9;6.0;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999910.034;-80.3;-108.7;10.6;-10.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999911.025;-80.4;-108.3;10.2;-10.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999912.046;-80.4;-108.9;10.0;-10.8;262;2;49003;2745089;20;3;3;6300;24300;10.0; 359072061595894;100.102.122.170;lte_vodafone
1566999913.036;-85.1;-109.6;9.4;-11.0;262;2;49003;2745089;20;3;3;6300;24300;12.0; 359072061595894;100.102.122.170;lte_vodafone
1566999914.057;-82.3;-110.1;8.4;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999915.048;-81.9;-110.1;9.0;-11.1;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999916.079;-86.1;-110.5;8.6;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999917.040;-81.4;-110.0;9.0;-11.2;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999918.040;-79.9;-108.6;11.2;-10.7;262;2;49003;2745089;20;3;3;6300;24300;10.0; 359072061595894;100.102.122.170;lte_vodafone
1566999919.052;-80.2;-107.7;12.2;-10.5;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999919.981;-79.4;-107.3;10.6;-10.8;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999921.094;-82.1;-107.5;11.6;-10.7;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999922.054;-80.1;-107.9;10.2;-10.8;262;2;49003;2745089;20;3;3;6300;24300;10.0; 359072061595894;100.102.122.170;lte_vodafone
1566999923.055;-79.3;-107.5;11.2;-11.0;262;2;49003;2745089;20;3;3;6300;24300;10.0; 359072061595894;100.102.122.170;lte_vodafone
1566999924.055;-79.2;-107.4;11.2;-11.0;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999924.985;-79.1;-107.7;10.4;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
1566999926.098;-80.6;-108.8;9.6;-11.3;262;2;49003;2745089;20;3;3;6300;24300;11.0; 359072061595894;100.102.122.170;lte_vodafone
1566999926.987;-81.4;-109.6;9.0;-11.3;262;2;49003;2745089;20;3;3;6300;24300;-9999.0; 359072061595894;100.102.122.170;lte_vodafone
